drug_name,medical_condition,rating,no_of_reviews
doxycycline,acne,6.8,760.0
spironolactone,acne,7.2,449.0
minocycline,acne,5.7,482.0
accutane,acne,7.9,623.0
clindamycin,acne,7.4,146.0
aldactone,acne,7.6,8.0
tretinoin,acne,7.7,439.0
isotretinoin,acne,8.0,999.0
bactrim,acne,8.5,96.0
retin-a,acne,7.9,86.0
aczone,acne,7.4,227.0
benzoyl peroxide,acne,7.8,51.0
differin,acne,6.0,329.0
epiduo,acne,7.3,698.0
adapalene,acne,6.3,499.0
cephalexin,acne,8.4,8.0
doryx,acne,7.5,57.0
tetracycline,acne,6.3,55.0
septra,acne,10.0,2.0
solodyn,acne,6.9,99.0
tazorac,acne,8.0,30.0
vibramycin,acne,8.3,4.0
acticlate,acne,5.7,8.0
benzoyl peroxide / clindamycin,acne,7.6,570.0
doxy 100,acne,9.0,5.0
keflex,acne,7.5,4.0
sulfamethoxazole / trimethoprim,acne,7.7,193.0
benzaclin,acne,8.2,94.0
monodox,acne,7.8,32.0
targadox,acne,5.0,1.0
adoxa,acne,8.8,5.0
adoxa ck,acne,-1.0,0.0
adoxa pak,acne,-1.0,0.0
adoxa tt,acne,-1.0,0.0
avidoxy,acne,-1.0,0.0
bactrim ds,acne,6.0,32.0
cleocin t,acne,-1.0,0.0
clindagel,acne,10.0,2.0
doryx mpc,acne,-1.0,0.0
erythromycin,acne,10.0,1.0
morgidox,acne,-1.0,0.0
oraxyl,acne,-1.0,0.0
claravis,acne,8.2,116.0
clinda-derm,acne,-1.0,0.0
evoclin,acne,-1.0,0.0
minocin,acne,6.7,13.0
yaz,acne,6.7,267.0
adapalene / benzoyl peroxide,acne,7.3,909.0
clindacin etz,acne,-1.0,0.0
clindacin p,acne,-1.0,0.0
clindacin pac,acne,-1.0,0.0
clindareach pledget,acne,-1.0,0.0
clindets,acne,-1.0,0.0
milk of magnesia,acne,7.0,1.0
septra ds,acne,-1.0,0.0
yasmin,acne,6.4,193.0
ziana,acne,7.5,76.0
absorica,acne,6.6,5.0
acanya,acne,7.3,57.0
amnesteem,acne,7.8,27.0
azelaic acid,acne,7.4,35.0
co-trimoxazole,acne,9.0,2.0
dapsone,acne,7.3,252.0
duac,acne,7.3,274.0
emcin clear,acne,-1.0,0.0
epiduo forte,acne,7.2,115.0
erygel,acne,-1.0,0.0
ery pads,acne,10.0,1.0
myorisan,acne,8.7,10.0
onexton,acne,8.6,33.0
phillips' milk of magnesia,acne,8.0,1.0
salicylic acid,acne,7.0,3.0
spotex,acne,-1.0,0.0
theramycin z,acne,-1.0,0.0
absorica ld,acne,-1.0,0.0
achromycin v,acne,-1.0,0.0
acne treatment,acne,-1.0,0.0
acnex,acne,10.0,1.0
ala-tet,acne,-1.0,0.0
amzeeq,acne,9.0,1.0
atralin,acne,8.1,35.0
avita,acne,10.0,1.0
azelex,acne,7.4,5.0
benzamycin,acne,7.7,9.0
benzoyl peroxide / erythromycin,acne,7.6,54.0
benzoyl peroxide / sulfur,acne,10.0,2.0
beyaz,acne,7.3,34.0
brodspec,acne,-1.0,0.0
cleeravue-m,acne,-1.0,0.0
clindamycin / tretinoin,acne,7.6,183.0
drospirenone / ethinyl estradiol,acne,6.4,669.0
dynacin,acne,8.0,1.0
estarylla,acne,4.8,32.0
ethinyl estradiol / norgestimate,acne,5.4,489.0
gianvi,acne,7.3,54.0
loryna,acne,5.7,45.0
magnesium hydroxide,acne,8.3,3.0
minocycline,acne,9.0,1.0
minolira,acne,-1.0,0.0
ocella,acne,7.5,25.0
panoxyl,acne,8.5,6.0
panoxyl 10% acne foaming wash,acne,9.5,2.0
seysara,acne,8.7,7.0
sotret,acne,8.0,3.0
sulfacetamide sodium/sulfur,acne,7.5,36.0
tazarotene,acne,7.3,52.0
tri-previfem,acne,5.2,36.0
tri-sprintec,acne,5.0,149.0
veltin,acne,7.4,42.0
ximino,acne,-1.0,0.0
zenatane,acne,7.7,11.0
acetoxyl,acne,-1.0,0.0
acne-10,acne,-1.0,0.0
acne-clear,acne,-1.0,0.0
acnevir,acne,-1.0,0.0
acnomel,acne,5.0,1.0
acnomel acne mask,acne,-1.0,0.0
acnomel bp 5,acne,-1.0,0.0
aklief,acne,-1.0,0.0
aktipak,acne,8.0,1.0
akurza,acne,-1.0,0.0
aliclen,acne,-1.0,0.0
alquam-x acne therapy gel,acne,-1.0,0.0
altabax,acne,8.3,3.0
altreno,acne,-1.0,0.0
arazlo,acne,2.0,3.0
avar,acne,10.0,1.0
avar-e,acne,-1.0,0.0
avar-e green,acne,-1.0,0.0
avar-e ls,acne,-1.0,0.0
