question,answer
What is (vertigo) paroymsal  positional vertigo?,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo Ã¢Â?the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.
What are the symptoms of (vertigo) paroymsal  positional vertigo?,"The symptoms of (vertigo) paroymsal  positional vertigo may include  nausea,  loss_of_balance,  unsteadiness,  spinning_movements,  headache,  vomiting."
How can I prevent (vertigo) paroymsal  positional vertigo?,"To prevent (vertigo) paroymsal  positional vertigo, you should avoid abrupt head movment, relax, lie down, avoid sudden change in body."
What medications should I take for (vertigo) paroymsal  positional vertigo?,"I'm sorry, I don't have that information."
What is acne?,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents."
What are the symptoms of acne?,"The symptoms of acne may include  skin_rash,  scurring,  blackheads,  pus_filled_pimples."
How can I prevent acne?,"To prevent acne, you should bath twice, avoid too many products, avoid fatty spicy food, drink plenty of water."
What medications should I take for acne?,"( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10), ( (rated '/10)"
What is aids?,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
What are the symptoms of aids?,"The symptoms of aids may include  patches_in_throat,  high_fever,  extra_marital_contacts,  muscle_wasting."
How can I prevent aids?,"To prevent aids, you should consult doctor, follow up, avoid open cuts, wear ppe if possible."
What medications should I take for aids?,"I'm sorry, I don't have that information."
What is alcoholic hepatitis?,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"
What are the symptoms of alcoholic hepatitis?,"The symptoms of alcoholic hepatitis may include  distention_of_abdomen,  swelling_of_stomach,  abdominal_pain,  history_of_alcohol_consumption,  fluid_overload,  vomiting,  yellowish_skin."
How can I prevent alcoholic hepatitis?,"To prevent alcoholic hepatitis, you should consult doctor, stop alcohol consumption, follow up, medication."
What medications should I take for alcoholic hepatitis?,"I'm sorry, I don't have that information."
What is allergy?,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."
What are the symptoms of allergy?,"The symptoms of allergy may include  watering_from_eyes,  chills,  shivering,  continuous_sneezing."
How can I prevent allergy?,"To prevent allergy, you should apply calamine, use ice to compress itching, cover area with bandage."
What medications should I take for allergy?,"I'm sorry, I don't have that information."
What is arthritis?,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
What are the symptoms of arthritis?,"The symptoms of arthritis may include  swelling_joints,  movement_stiffness,  stiff_neck,  painful_walking,  muscle_weakness."
How can I prevent arthritis?,"To prevent arthritis, you should exercise, massage, use hot and cold therapy, try acupuncture."
What medications should I take for arthritis?,"I'm sorry, I don't have that information."
What is bronchial asthma?,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working."
What are the symptoms of bronchial asthma?,"The symptoms of bronchial asthma may include  fatigue,  high_fever,  cough,  breathlessness,  mucoid_sputum,  family_history."
How can I prevent bronchial asthma?,"To prevent bronchial asthma, you should take deep breaths, seek help, switch to loose cloothing, get away from trigger."
What medications should I take for bronchial asthma?,"I'm sorry, I don't have that information."
What is cervical spondylosis?,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs)."
What are the symptoms of cervical spondylosis?,"The symptoms of cervical spondylosis may include  loss_of_balance,  back_pain,  neck_pain,  weakness_in_limbs,  dizziness."
How can I prevent cervical spondylosis?,"To prevent cervical spondylosis, you should consult doctor, use heating pad or cold pack, exercise, take otc pain reliver."
What medications should I take for cervical spondylosis?,"I'm sorry, I don't have that information."
What is chicken pox?,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters."
What are the symptoms of chicken pox?,"The symptoms of chicken pox may include  swelled_lymph_nodes,  loss_of_appetite,  fatigue,  lethargy,  high_fever,  red_spots_over_body, itching,  mild_fever,  skin_rash,  malaise,  headache."
How can I prevent chicken pox?,"To prevent chicken pox, you should take vaccine, use neem in bathing , avoid public places, consume neem leaves."
What medications should I take for chicken pox?,"I'm sorry, I don't have that information."
What is chronic cholestasis?,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases"
What are the symptoms of chronic cholestasis?,"The symptoms of chronic cholestasis may include  nausea,  loss_of_appetite,  abdominal_pain, itching,  yellowing_of_eyes,  vomiting,  yellowish_skin."
How can I prevent chronic cholestasis?,"To prevent chronic cholestasis, you should cold baths, eat healthy, anti itch medicine, consult doctor."
What medications should I take for chronic cholestasis?,"I'm sorry, I don't have that information."
What is common cold?,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
What are the symptoms of common cold?,"The symptoms of common cold may include  swelled_lymph_nodes,  fatigue,  high_fever,  phlegm,  chest_pain,  cough,  chills,  continuous_sneezing,  throat_irritation,  sinus_pressure,  loss_of_smell,  malaise,  redness_of_eyes,  muscle_pain,  headache,  congestion,  runny_nose."
How can I prevent common cold?,"To prevent common cold, you should take vapour, drink vitamin c rich drinks, avoid cold food, keep fever in check."
What medications should I take for common cold?,"I'm sorry, I don't have that information."
